brain_region_id,brain_atlas_id,parent_region_id,name,description,record_creation
atlas_1_8,atlas_1,,Frontal_Mid_Orb_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_43,atlas_1,,Calcarine_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_67,atlas_1,,Precuneus_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_97,atlas_1,,Cerebelum_4_5_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_115,atlas_1,,Vermis_10,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_48,atlas_1,,Occipital_Sup_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_46,atlas_1,,Lingual_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_90,atlas_1,,Cerebelum_Crus1_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_66,atlas_1,,Precuneus_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_32,atlas_1,,Cingulum_Mid_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_30,atlas_1,,Cingulum_Ant_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_54,atlas_1,,Fusiform_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_86,atlas_1,,Temporal_Pole_Mid_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_61,atlas_1,,Parietal_Inf_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_59,atlas_1,,Parietal_Sup_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_96,atlas_1,,Cerebelum_4_5_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_6,atlas_1,,Frontal_Mid_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_16,atlas_1,,Rolandic_Oper_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_84,atlas_1,,Temporal_Mid_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_105,atlas_1,,Cerebelum_9_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_101,atlas_1,,Cerebelum_7b_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_70,atlas_1,,Caudate_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_95,atlas_1,,Cerebelum_3_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_31,atlas_1,,Cingulum_Ant_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_71,atlas_1,,Caudate_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_83,atlas_1,,Temporal_Pole_Sup_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_64,atlas_1,,Angular_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_22,atlas_1,,Frontal_Sup_Medial_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_102,atlas_1,,Cerebelum_8_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_69,atlas_1,,Paracentral_Lobule_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_77,atlas_1,,Thalamus_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_18,atlas_1,,Supp_Motor_Area_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_110,atlas_1,,Vermis_4_5,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_41,atlas_1,,Amygdala_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_98,atlas_1,,Cerebelum_6_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_39,atlas_1,,ParaHippocampal_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_85,atlas_1,,Temporal_Mid_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_58,atlas_1,,Parietal_Sup_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_33,atlas_1,,Cingulum_Mid_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_112,atlas_1,,Vermis_7,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_23,atlas_1,,Frontal_Sup_Medial_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_76,atlas_1,,Thalamus_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_51,atlas_1,,Occipital_Mid_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_42,atlas_1,,Calcarine_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_29,atlas_1,,Insula_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_2,atlas_1,,Frontal_Sup_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_74,atlas_1,,Pallidum_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_104,atlas_1,,Cerebelum_9_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_53,atlas_1,,Occipital_Inf_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_113,atlas_1,,Vermis_8,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_56,atlas_1,,Postcentral_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_19,atlas_1,,Supp_Motor_Area_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_40,atlas_1,,Amygdala_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_55,atlas_1,,Fusiform_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_65,atlas_1,,Angular_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_0,atlas_1,,Precentral_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_60,atlas_1,,Parietal_Inf_L,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_99,atlas_1,,Cerebelum_6_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_109,atlas_1,,Vermis_3,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_57,atlas_1,,Postcentral_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_81,atlas_1,,Temporal_Sup_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_91,atlas_1,,Cerebelum_Crus1_R,taken from ADNIVolume,2015-11-24 00:00:00
atlas_1_34,atlas_1,,Cingulum_Post_L,taken from ADNIVolume,2015-11-24 00:00:00
