diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
A00-B99,N,A00-B99,,Certain infectious and parasitic diseases,2014-11-19 17:21:23.996408
C00-D48,N,C00-D48,,Neoplasms,2014-11-19 17:21:23.996408
E00-E90,N,E00-E90,,"Endocrine, nutritional and metabolic diseases",2014-11-19 17:21:23.996408
F00-F98,N,F00-F98,,Mental and behavioural disorders,2014-11-19 17:21:23.996408
G00-G99,N,G00-G99,,Diseases of the nervous system,2014-11-19 17:21:23.996408
H00-H59,N,H00-H59,,Diseases of the eye and adnexa,2014-11-19 17:21:23.996408
H60-H95,N,H60-H95,,Diseases of the ear and mastoid process,2014-11-19 17:21:23.996408
I00-I99,N,I00-I99,,Diseases of the circulatory system,2014-11-19 17:21:23.996408
J00-J99,N,J00-J99,,Diseases of the respiratory system,2014-11-19 17:21:23.996408
L00-L99,N,L00-L99,,Diseases of the skin and subcutaneous tissue,2014-11-19 17:21:23.996408
M00-M99,N,M00-M99,,Diseases of the musculoskeletal system and connective tissue,2014-11-19 17:21:23.996408
N00-N99,N,N00-N99,,Diseases of the genitourinary system,2014-11-19 17:21:23.996408
O00-O99,N,O00-O99,,"Pregnancy, childbirth and the puerperium",2014-11-19 17:21:23.996408
P00-P96,N,P00-P96,,Certain conditions originating in the perinatal period,2014-11-19 17:21:23.996408
R00-R99,N,R00-R99,,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2014-11-19 17:21:23.996408
S00-T98,N,S00-T98,,"Injury, poisoning and certain other consequences of external causes",2014-11-19 17:21:23.996408
V01-Y98,N,V01-Y98,,External causes of morbidity and mortality,2014-11-19 17:21:23.996408
Z00-Z99,N,Z00-Z99,,Factors influencing health status and contact with health services,2014-11-19 17:21:23.996408
U00-U89,N,U00-U89,,Codes for special purposes,2014-11-19 17:21:23.996408
A00-A09,N,A00-B99,A00-A09,Intestinal infectious diseases,2014-11-19 17:21:23.996408
A15-A19,N,A00-B99,A15-A19,Tuberculosis,2014-11-19 17:21:23.996408
A20-A28,N,A00-B99,A20-A28,Certain zoonotic bacterial diseases,2014-11-19 17:21:23.996408
A30-A49,N,A00-B99,A30-A49,Other bacterial diseases,2014-11-19 17:21:23.996408
A65-A69,N,A00-B99,A65-A69,Other spirochaetal diseases,2014-11-19 17:21:23.996408
A70-A74,N,A00-B99,A70-A74,Other diseases caused by chlamydiae,2014-11-19 17:21:23.996408
A75-A79,N,A00-B99,A75-A79,Rickettsioses,2014-11-19 17:21:23.996408
A80-A89,N,A00-B99,A80-A89,Viral infections of the central nervous system,2014-11-19 17:21:23.996408
B00-B09,N,A00-B99,B00-B09,Viral infections characterized by skin and mucous membrane lesions,2014-11-19 17:21:23.996408
B15-B19,N,A00-B99,B15-B19,Viral hepatitis,2014-11-19 17:21:23.996408
B20-B24,N,A00-B99,B20-B24,Human immunodeficiency virus [HIV] disease,2014-11-19 17:21:23.996408
B25-B34,N,A00-B99,B25-B34,Other viral diseases,2014-11-19 17:21:23.996408
B35-B49,N,A00-B99,B35-B49,Mycoses,2014-11-19 17:21:23.996408
B50-B64,N,A00-B99,B50-B64,Protozoal diseases,2014-11-19 17:21:23.996408
B65-B83,N,A00-B99,B65-B83,Helminthiases,2014-11-19 17:21:23.996408
B90-B94,N,A00-B99,B90-B94,Sequelae of infectious and parasitic diseases,2014-11-19 17:21:23.996408
B95-B98,N,A00-B99,B95-B98,"Bacterial, viral and other infectious agents",2014-11-19 17:21:23.996408
B99-B99,N,A00-B99,B99-B99,Other infectious diseases,2014-11-19 17:21:23.996408
C15-C26,N,C00-D48,C15-C26,Malignant neoplasms of digestive organs,2014-11-19 17:21:23.996408
C30-C39,N,C00-D48,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,2014-11-19 17:21:23.996408
C40-C41,N,C00-D48,C40-C41,Malignant neoplasms of bone and articular cartilage,2014-11-19 17:21:23.996408
C43-C44,N,C00-D48,C43-C44,Melanoma and other malignant neoplasms of skin,2014-11-19 17:21:23.996408
C50-C50,N,C00-D48,C50-C50,Malignant neoplasm of breast,2014-11-19 17:21:23.996408
C51-C58,N,C00-D48,C51-C58,Malignant neoplasms of female genital organs,2014-11-19 17:21:23.996408
C60-C63,N,C00-D48,C60-C63,Malignant neoplasms of male genital organs,2014-11-19 17:21:23.996408
C64-C68,N,C00-D48,C64-C68,Malignant neoplasms of urinary tract,2014-11-19 17:21:23.996408
C73-C75,N,C00-D48,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,2014-11-19 17:21:23.996408
C76-C80,N,C00-D48,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites",2014-11-19 17:21:23.996408
C81-C96,N,C00-D48,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2014-11-19 17:21:23.996408
C97-C97,N,C00-D48,C97-C97,Malignant neoplasms of independent (primary) multiple sites,2014-11-19 17:21:23.996408
D00-D09,N,C00-D48,D00-D09,In situ neoplasms,2014-11-19 17:21:23.996408
D10-D36,N,C00-D48,D10-D36,Benign neoplasms,2014-11-19 17:21:23.996408
D37-D48,N,C00-D48,D37-D48,Neoplasms of uncertain or unknown behaviour,2014-11-19 17:21:23.996408
D50-D53,N,D50-D90,D50-D53,Nutritional anaemias,2014-11-19 17:21:23.996408
D55-D59,N,D50-D90,D55-D59,Haemolytic anaemias,2014-11-19 17:21:23.996408
D65-D69,N,D50-D90,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",2014-11-19 17:21:23.996408
D70-D77,N,D50-D90,D70-D77,Other diseases of blood and blood-forming organs,2014-11-19 17:21:23.996408
E00-E07,N,E00-E90,E00-E07,Disorders of thyroid gland,2014-11-19 17:21:23.996408
E15-E16,N,E00-E90,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,2014-11-19 17:21:23.996408
E20-E35,N,E00-E90,E20-E35,Disorders of other endocrine glands,2014-11-19 17:21:23.996408
E40-E46,N,E00-E90,E40-E46,Malnutrition,2014-11-19 17:21:23.996408
E65-E68,N,E00-E90,E65-E68,Obesity and other hyperalimentation,2014-11-19 17:21:23.996408
E70-E90,N,E00-E90,E70-E90,Metabolic disorders,2014-11-19 17:21:23.996408
F00-F09,N,F00-F98,F00-F09,"Organic, including symptomatic, mental disorders",2014-11-19 17:21:23.996408
F20-F29,N,F00-F98,F20-F29,"Schizophrenia, schizotypal and delusional disorders",2014-11-19 17:21:23.996408
F30-F39,N,F00-F98,F30-F39,Mood [affective] disorders,2014-11-19 17:21:23.996408
F40-F48,N,F00-F98,F40-F48,"Neurotic, stress-related and somatoform disorders",2014-11-19 17:21:23.996408
F50-F59,N,F00-F98,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,2014-11-19 17:21:23.996408
F60-F69,N,F00-F98,F60-F69,Disorders of adult personality and behaviour,2014-11-19 17:21:23.996408
F70-F79,N,F00-F98,F70-F79,Mental retardation,2014-11-19 17:21:23.996408
F90-F98,N,F00-F98,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,2014-11-19 17:21:23.996408
F99-F99,N,F99-F99,,Unspecified mental disorder,2014-11-19 17:21:23.996408
G00-G09,N,G00-G99,G00-G09,Inflammatory diseases of the central nervous system,2014-11-19 17:21:23.996408
G10-G14,N,G00-G99,G10-G14,Systemic atrophies primarily affecting the central nervous system,2014-11-19 17:21:23.996408
G35-G37,N,G00-G99,G35-G37,Demyelinating diseases of the central nervous system,2014-11-19 17:21:23.996408
G40-G47,N,G00-G99,G40-G47,Episodic and paroxysmal disorders,2014-11-19 17:21:23.996408
G50-G59,N,G00-G99,G50-G59,"Nerve, nerve root and plexus disorders",2014-11-19 17:21:23.996408
G60-G64,N,G00-G99,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,2014-11-19 17:21:23.996408
G70-G73,N,G00-G99,G70-G73,Diseases of myoneural junction and muscle,2014-11-19 17:21:23.996408
G90-G99,N,G00-G99,G90-G99,Other disorders of the nervous system,2014-11-19 17:21:23.996408
H00-H06,N,H00-H59,H00-H06,"Disorders of eyelid, lacrimal system and orbit",2014-11-19 17:21:23.996408
H10-H13,N,H00-H59,H10-H13,Disorders of conjunctiva,2014-11-19 17:21:23.996408
H15-H22,N,H00-H59,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",2014-11-19 17:21:23.996408
H25-H28,N,H00-H59,H25-H28,Disorders of lens,2014-11-19 17:21:23.996408
H40-H42,N,H00-H59,H40-H42,Glaucoma,2014-11-19 17:21:23.996408
H43-H45,N,H00-H59,H43-H45,Disorders of vitreous body and globe,2014-11-19 17:21:23.996408
H46-H48,N,H00-H59,H46-H48,Disorders of optic nerve and visual pathways,2014-11-19 17:21:23.996408
H53-H54,N,H00-H59,H53-H54,Visual disturbances and blindness,2014-11-19 17:21:23.996408
H55-H59,N,H00-H59,H55-H59,Other disorders of eye and adnexa,2014-11-19 17:21:23.996408
H60-H62,N,H60-H95,H60-H62,Diseases of external ear,2014-11-19 17:21:23.996408
H65-H75,N,H60-H95,H65-H75,Diseases of middle ear and mastoid,2014-11-19 17:21:23.996408
H80-H83,N,H60-H95,H80-H83,Diseases of inner ear,2014-11-19 17:21:23.996408
H90-H95,N,H60-H95,H90-H95,Other disorders of ear,2014-11-19 17:21:23.996408
I00-I02,N,I00-I99,I00-I02,Acute rheumatic fever,2014-11-19 17:21:23.996408
I10-I15,N,I00-I99,I10-I15,Hypertensive diseases,2014-11-19 17:21:23.996408
I20-I25,N,I00-I99,I20-I25,Ischaemic heart diseases,2014-11-19 17:21:23.996408
I26-I28,N,I00-I99,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,2014-11-19 17:21:23.996408
I30-I52,N,I00-I99,I30-I52,Other forms of heart disease,2014-11-19 17:21:23.996408
I70-I79,N,I00-I99,I70-I79,"Diseases of arteries, arterioles and capillaries",2014-11-19 17:21:23.996408
I95-I99,N,I00-I99,I95-I99,Other and unspecified disorders of the circulatory system,2014-11-19 17:21:23.996408
J00-J06,N,J00-J99,J00-J06,Acute upper respiratory infections,2014-11-19 17:21:23.996408
J09-J18,N,J00-J99,J09-J18,Influenza and pneumonia,2014-11-19 17:21:23.996408
J20-J22,N,J00-J99,J20-J22,Other acute lower respiratory infections,2014-11-19 17:21:23.996408
J30-J39,N,J00-J99,J30-J39,Other diseases of upper respiratory tract,2014-11-19 17:21:23.996408
J40-J47,N,J00-J99,J40-J47,Chronic lower respiratory diseases,2014-11-19 17:21:23.996408
J60-J70,N,J00-J99,J60-J70,Lung diseases due to external agents,2014-11-19 17:21:23.996408
J85-J86,N,J00-J99,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,2014-11-19 17:21:23.996408
J90-J94,N,J00-J99,J90-J94,Other diseases of pleura,2014-11-19 17:21:23.996408
J95-J99,N,J00-J99,J95-J99,Other diseases of the respiratory system,2014-11-19 17:21:23.996408
K00-K14,N,K00-K93,K00-K14,"Diseases of oral cavity, salivary glands and jaws",2014-11-19 17:21:23.996408
K20-K31,N,K00-K93,K20-K31,"Diseases of oesophagus, stomach and duodenum",2014-11-19 17:21:23.996408
K35-K38,N,K00-K93,K35-K38,Diseases of appendix,2014-11-19 17:21:23.996408
K40-K46,N,K00-K93,K40-K46,Hernia,2014-11-19 17:21:23.996408
K55-K63,N,K00-K93,K55-K63,Other diseases of intestines,2014-11-19 17:21:23.996408
K65-K67,N,K00-K93,K65-K67,Diseases of peritoneum,2014-11-19 17:21:23.996408
K70-K77,N,K00-K93,K70-K77,Diseases of liver,2014-11-19 17:21:23.996408
K80-K87,N,K00-K93,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",2014-11-19 17:21:23.996408
L00-L08,N,L00-L99,L00-L08,Infections of the skin and subcutaneous tissue,2014-11-19 17:21:23.996408
L10-L14,N,L00-L99,L10-L14,Bullous disorders,2014-11-19 17:21:23.996408
L20-L30,N,L00-L99,L20-L30,Dermatitis and eczema,2014-11-19 17:21:23.996408
L40-L45,N,L00-L99,L40-L45,Papulosquamous disorders,2014-11-19 17:21:23.996408
L50-L54,N,L00-L99,L50-L54,Urticaria and erythema,2014-11-19 17:21:23.996408
L60-L75,N,L00-L99,L60-L75,Disorders of skin appendages,2014-11-19 17:21:23.996408
L80-L99,N,L00-L99,L80-L99,Other disorders of the skin and subcutaneous tissue,2014-11-19 17:21:23.996408
M00-M03,N,M00-M99,M00-M03,Infectious arthropathies,2014-11-19 17:21:23.996408
M05-M14,N,M00-M99,M05-M14,Inflammatory polyarthropathies,2014-11-19 17:21:23.996408
M15-M19,N,M00-M99,M15-M19,Arthrosis,2014-11-19 17:21:23.996408
M20-M25,N,M00-M99,M20-M25,Other joint disorders,2014-11-19 17:21:23.996408
M40-M43,N,M00-M99,M40-M43,Deforming dorsopathies,2014-11-19 17:21:23.996408
M45-M49,N,M00-M99,M45-M49,Spondylopathies,2014-11-19 17:21:23.996408
M50-M54,N,M00-M99,M50-M54,Other dorsopathies,2014-11-19 17:21:23.996408
M60-M63,N,M00-M99,M60-M63,Disorders of muscles,2014-11-19 17:21:23.996408
M70-M79,N,M00-M99,M70-M79,Other soft tissue disorders,2014-11-19 17:21:23.996408
M80-M85,N,M00-M99,M80-M85,Disorders of bone density and structure,2014-11-19 17:21:23.996408
M86-M90,N,M00-M99,M86-M90,Other osteopathies,2014-11-19 17:21:23.996408
M91-M94,N,M00-M99,M91-M94,Chondropathies,2014-11-19 17:21:23.996408
N00-N08,N,N00-N99,N00-N08,Glomerular diseases,2014-11-19 17:21:23.996408
N10-N16,N,N00-N99,N10-N16,Renal tubulo-interstitial diseases,2014-11-19 17:21:23.996408
N17-N19,N,N00-N99,N17-N19,Renal failure,2014-11-19 17:21:23.996408
N20-N23,N,N00-N99,N20-N23,Urolithiasis,2014-11-19 17:21:23.996408
N25-N29,N,N00-N99,N25-N29,Other disorders of kidney and ureter,2014-11-19 17:21:23.996408
N40-N51,N,N00-N99,N40-N51,Diseases of male genital organs,2014-11-19 17:21:23.996408
N60-N64,N,N00-N99,N60-N64,Disorders of breast,2014-11-19 17:21:23.996408
N70-N77,N,N00-N99,N70-N77,Inflammatory diseases of female pelvic organs,2014-11-19 17:21:23.996408
N99-N99,N,N00-N99,N99-N99,Other disorders of the genitourinary system,2014-11-19 17:21:23.996408
O00-O08,N,O00-O99,O00-O08,Pregnancy with abortive outcome,2014-11-19 17:21:23.996408
O10-O16,N,O00-O99,O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",2014-11-19 17:21:23.996408
O20-O29,N,O00-O99,O20-O29,Other maternal disorders predominantly related to pregnancy,2014-11-19 17:21:23.996408
O60-O75,N,O00-O99,O60-O75,Complications of labour and delivery,2014-11-19 17:21:23.996408
O80-O84,N,O00-O99,O80-O84,Delivery,2014-11-19 17:21:23.996408
O85-O92,N,O00-O99,O85-O92,Complications predominantly related to the puerperium,2014-11-19 17:21:23.996408
P05-P08,N,P00-P96,P05-P08,Disorders related to length of gestation and fetal growth,2014-11-19 17:21:23.996408
P10-P15,N,P00-P96,P10-P15,Birth trauma,2014-11-19 17:21:23.996408
P20-P29,N,P00-P96,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,2014-11-19 17:21:23.996408
P35-P39,N,P00-P96,P35-P39,Infections specific to the perinatal period,2014-11-19 17:21:23.996408
