id,lab_id,variable_name,loinc_num,unit,accuracy,value_range,error_range,result_type,reference_value,description,record_creation
FDG,ADNI,FDG,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
RAVLT_forgetting_bl,ADNI,RAVLT_forgetting_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
EcogPtTotal,ADNI,EcogPtTotal,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
EXAMDATE_bl,ADNI,EXAMDATE_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
APOE,ADNI,APOE,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
EcogPtDivatt,ADNI,EcogPtDivatt,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
Ventricles_bl,ADNI,Ventricles_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
Entorhinal_bl,ADNI,Entorhinal_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
Hippocampus,ADNI,Hippocampus,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
MMSE_bl,ADNI,MMSE_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
EcogPtOrgan_bl,ADNI,EcogPtOrgan_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
Fusiform_bl,ADNI,Fusiform_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
ADAS13_bl,ADNI,ADAS13_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
MMSE,ADNI,MMSE,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
RAVLT_immediate_bl,ADNI,RAVLT_immediate_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
FAQ_bl,ADNI,FAQ_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
ADAS13,ADNI,ADAS13,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
DX,ADNI,DX,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
MOCA_bl,ADNI,MOCA_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
Entorhinal,ADNI,Entorhinal,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
EcogSPPlan,ADNI,EcogSPPlan,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
FDG_bl,ADNI,FDG_bl,null,null,null,null,null,null,null,null,2015-11-24 00:00:00
